,NAME,ADDRESS,STAR_AVG,STAR_DIST_DECENDING,REVIEW_TITLE,REVIEW_STAR,REVIEW,VISIT_DATE,WRITE_DATE,LANGUAGE
11,앞산공원,대구 남구 앞산순환로 574-116,4.5,"['110', '71', '20', '1', '0']",非常喜欢,5.0,我们是搭公车到前山公园站，徒步约10分钟走到缆车站再搭缆车上去瞭望台，缆车来回票价为10500韩元，风景真的非常漂亮，值得一去再去!,,2019년 9월 30일 작성,중국어(간체)
12,디아크,대구 달성군 다사읍 강정본길 57,4.0,"['15', '25', '11', '1', '1']","Лучше смотреть издалека, чем вблизи!",4.0,"Вблизи сооружение выглядит не очень, однако если смотреть с моста Дэшиль (대실), вид открывается очень хороший, особенно ""переливания"" сооружения разными цветами. Вблизи перед зданием - большая парковая зона, где постоянно гуляют парочки, устраивают пикники семьи и группы друзей. В самом здании есть небольшой музей, кофейная и балкончик, куда в любом случае стоит заглянуть",2015년 4월 • 친구,2015년 6월 1일 작성,러시아어
13,앞산공원,대구 남구 앞산순환로 574-116,4.5,"['110', '71', '20', '1', '0']",非常令人惊叹！！！,5.0,我的韩国朋友用车搭我到达这里来（没有车可能会很难来到这里）我完全爱上了这个地方！在乘坐缆车时候，在上升的时候会有点慢，里面会有点热，所以会疯狂地出汗，但是风景真的很美，这一切都非常值得！在上升过程中可以看到很美的风景，而且是一个拍照的好地方。,,2019년 7월 2일 작성,중국어(간체)
14,앞산공원,대구 남구 앞산순환로 574-116,4.5,"['110', '71', '20', '1', '0']",徒步旅行,3.0,这里的缆车乘坐率仅为平均水平。缆车很大而且是共享的，每隔几分钟就会离开一班，间隔时间不是固定的。走到缆车点也有点远，所以如果你不能走很长的路，那就叫一辆出租车。有一条徒步旅行的小路，但我去得太晚了，所以没有走。山顶的观景台视野不错，但我相信爬到更高的地方会有更好的视野。餐厅里有一个小菜单，有点贵，但这里有一个缆车的摄像头画面，可以显示下一辆缆车什么时候离开。餐厅上方还有另外一个观景台。,,2019년 5월 5일 작성,중국어(간체)
15,천주교 계산 주교좌 성당,대구 중구 서성로 10,4.0,"['37', '38', '16', '1', '0']",大邱必访桂山圣堂,5.0,首访大邱景点，当然要朝圣最红的桂山圣堂，1902年完工，圣堂为大邱地区唯一留下的1900年代初期建筑物。建筑整体是属于厚重的罗马式建筑，另外加入尖塔和彩色玻璃等的歌德式建筑要素点缀。,,2020년 2월 2일 작성,중국어(간체)
16,대구 두류 공원,대구 달서구 공원순환로 36,4.0,"['34', '48', '14', '3', '1']",Парк пешеходов,5.0,"Отличный парк ! Парк расположен вокруг небольшой сопки называемым местными ~вершина !гора!~множество скамеек аллеи пешеходные дорожки вокруг горы!!! И на склонах ...есть водопадик .озеро с рыбами.детская зона тур ценр много стояночных мест.
Есть концертная зона с лужайкой вместо сидений стадион и прочее прочее ! Будет интересно!!!",2017년 10월 • 가족,2018년 8월 6일 작성,러시아어
17,앞산공원,대구 남구 앞산순환로 574-116,4.5,"['110', '71', '20', '1', '0']",步行过去，感觉还不错,4.0,如果你正好在这个地方，大邱前山公园值得一去。步行过去也是很不错的体验，也可以坐缆车上山，坐缆车大概要10美元。山顶有咖啡馆。不是超级奇特的景色，所以可能不值得长途专程过来看。,,2019년 3월 16일 작성,중국어(간체)
18,천주교 계산 주교좌 성당,대구 중구 서성로 10,4.0,"['37', '38', '16', '1', '0']",环境舒适且适合拍照的好地方,5.0,大邱是个美食之都却富有丰富的文化。教堂内很安静很圣神。外面有很多人拍照，旁边一个小公园可以坐着乘凉，很舒服。目前的游客没有算很多，在附近逛逛还蛮舒服的。,,2019년 6월 18일 작성,중국어(간체)
19,앞산공원,대구 남구 앞산순환로 574-116,4.5,"['110', '71', '20', '1', '0']",一览大邱的美景,5.0,"中央路搭410-1公车最后一站Apsan Park下车,下车沿着指标步行约15分即到达缆车搭乘处（来回10500）；登高后一边呼吸新鲜空气，一边一览大邱的美景⋯十分享受。",,2019년 3월 10일 작성,중국어(간체)
20,대구 두류 공원,대구 달서구 공원순환로 36,4.0,"['34', '48', '14', '3', '1']",Интересное место в тэгу,4.0,"Все классно но зимой не все работает а так интересно красиво есть на что посмотреть что покушать,есть каток хорошие атракционы персонал дружелюбный и приветливый ходят бесплатные автобусы по территории только не разобрал в какое время ну один раз прокатился нормально есть путеводители",2017년 2월,2017년 2월 8일 작성,러시아어
21,천주교 계산 주교좌 성당,대구 중구 서성로 10,4.0,"['37', '38', '16', '1', '0']",大邱具代表性的景点之一,5.0,大邱具代表性的景点之一，可以从中央路一路步行过来，第一教堂也在附近。也可以小憩一下⋯⋯在教堂旁的咖啡明家(camp by)点杯咖啡跟草莓蛋糕⋯欣赏这美丽的教堂。,,2019년 3월 11일 작성,중국어(간체)
22,앞산공원,대구 남구 앞산순환로 574-116,4.5,"['110', '71', '20', '1', '0']",大邱前山公园,4.0,要搭缆车上360观景台，需要先爬上一段山路，冷风吹来格外寒冷，再加上空气稀薄，呼登上前山观景台，眺望群山层叠的壮丽，也能感受大邱壮观市景，与秋日色彩交互相融之美！可惜很难在户外待上很久，第一次感受釜山的冷！,,2019년 1월 21일 작성,중국어(간체)
23,대구 두류 공원,대구 달서구 공원순환로 36,4.0,"['34', '48', '14', '3', '1']","Очень большой парк ""Цветного"" города",4.0,"В Корее очень много парков и Тэгу не исключение. В каждом районе города можно найти большой ""зеленый"" парк, однако Дурю парк считается основным и здесь проходят многие городские мероприятия. Сам по себе парк очень большой и иногда найти центральную точку парка - очень затруднительно. В моем случае потребовалось 3 часа, чтобы найти эту самую надпись ""Colorful Daegu"". Если вы собираетесь посетить Тэгу, вам не пройти мимо парка Дурю, вы в любом случае сюд попадете",2014년 11월 • 친구,2015년 6월 1일 작성,러시아어
24,천주교 계산 주교좌 성당,대구 중구 서성로 10,4.0,"['37', '38', '16', '1', '0']",朝圣,4.0,"在18世纪（建于1902年）时，它是周边最高的建筑物，而今只见它依附在城市中的大楼旁！尽管渺小但是严肃的外表，让人看了很难忘记！歌德式的建筑，曾经是庆尚北道地区的天主教中心！圣母看着这块地成长，也看着这群人一世又ㄧ世的承继！
#대구",,2018년 12월 30일 작성,중국어(간체)
25,앞산공원,대구 남구 앞산순환로 574-116,4.5,"['110', '71', '20', '1', '0']",距离市区远离尘嚣自然景观，可以搭配city bus tour 跟票价还有20% discount,5.0,"（整体评论）可以俯瞰整个大邱市的风景，星期一的city bus tour全线公休，但因为天气很好，所以还是自行前往。

*（关于交通）*
可以搭乘去程no410蓝色公车，回程410-1,去程约30分到达目的地（最后一站），我从最后一站搭到大邱站，花了50分，诚心建议回程如果沿途有（有红线捷运站跟黄线捷运站）捷运站可以下车去转乘，30分内转乘车费可抵不用钱，然后此公车可以达中央路跟半月堂。缆车票来回是10900韩元。

*（关于风景）*
天气好风景很美，从公车下车处到缆车搭乘处徒步要15分左右，沿途会经过一间寺庙，可惜天气太冷了（气温：1度左右），所幸待在山顶餐厅用餐跟喝咖啡，发呆写明信片，下次有机会希望可以登顶。",,2018년 12월 24일 작성,중국어(간체)
26,대구 두류 공원,대구 달서구 공원순환로 36,4.0,"['34', '48', '14', '3', '1']","постоянная дымка, не сфотографировать хорошо",2.0,"Полбеды погода, можно получше момент подобрать. А вот сотрудники тамошние очень раздражали, вернее сотрудницы, которые очень плохо говорят на английском. Мы пытались узнать, где билет на башню, этот вопрос вводил всех в ступор. Шатл бас ходит наверх типа каждые 30 мин. Не надо тратить время, он и через час может не прийти.Сразу перелезьть через ограду на парковке и срезать путь наверх. Если слева обходишь, тогда будет хороший вид на башню, оттуда и фотайте. И никогда ничего не спрашивайте у корейских девушек, они нарочно пошлют вас не туда, мужики наоборот помогают и английский у них лучше. А на башне тоже дурдом. Вообще не тратьте время на этот объект. Самое интересно место в Корее оказалось Сувон, не пожалеете. За 250р. от выхода №5 в 14ч. 3-часовая поездка. Отличные фотки и умная кореянка, хорошо говорящая по английски.",2014년 9월 • 친구,2014년 9월 10일 작성,러시아어
27,천주교 계산 주교좌 성당,대구 중구 서성로 10,4.0,"['37', '38', '16', '1', '0']",挺漂亮的教堂,5.0,从中央路坐地铁过来的，很近，附近很多大邱的景点和古宅，然后现代百货也在附近，逛完教堂刚好购物，然后可以走路回中央路。这个教堂不大，倒是感觉很舒服，秋天的红枫映衬着极美,2018년 10월 • 친구,2018년 11월 26일 작성,중국어(간체)
28,앞산공원,대구 남구 앞산순환로 574-116,4.5,"['110', '71', '20', '1', '0']",风光明媚,4.0,二人从中央区出发，行了5km的路程到这儿，个人觉得大邱路况不错爱多行走的朋友其实来这儿不用乘车，到达后红叶处处是打卡好地点，缆车也很便宜来回才19000w﹐山顶上大邱景致尽入眼帘，感动。,,2018년 11월 16일 작성,중국어(간체)
29,천주교 계산 주교좌 성당,대구 중구 서성로 10,4.0,"['37', '38', '16', '1', '0']",路过一看的典雅教堂,3.0,"可进入参观略表对教堂的敬意，
同时周遭很多有趣的建筑值得细细品味，
大邱步行街上几处留下的漂亮历史建筑。",,2018년 11월 3일 작성,중국어(간체)
30,대구도시철도,제공되지 않음,4.0,"['58', '83', '38', '4', '1']",Subway Station mit Shops,3.0,Diese Subway Station hat jede Menge Shops. Auch oberhalb ist gleich der Shopping Bezirk mit Restaurants,2015년 10월 • 가족,2015년 10월 3일 작성,독일어
31,신세계백화점 대구점,대구 동구 동부로 149,4.0,"['11', '14', '4', '0', '0']",대구 최적 입지의 백화점,5.0,"비행기를 제외한 고속버스, 시외버스, 기차를 타기 위해선 꼭 들려야 하는 장소.
남녀노소 불문하고 먹거리, 볼거리, 살거리, 즐길거리가 많아 하루종일 시간을 보낼 수 있는 곳.",2020년 6월 • 가족,2020년 6월 27일 작성,한국어
32,천주교 계산 주교좌 성당,대구 중구 서성로 10,4.0,"['37', '38', '16', '1', '0']","肃穆庄严, 大邱很大的教堂之ㄧ",4.0,"算是大邱很具代表的教堂之ㄧ, 经过时可以进去看一下, 坐个五分钟, 听听教会的歌, 顺便躲躲太阳, 看看挑高的教堂内部",,2017년 6월 4일 작성,중국어(간체)
33,천주교 계산 주교좌 성당,대구 중구 서성로 10,4.0,"['37', '38', '16', '1', '0']",高贵典雅的教堂,4.0,桂山圣堂为红砖结构哥德式建筑，规模虽不大但造型典雅优美，一看到建筑外观就有温暖人心的感觉，也难怪许多韩剧都喜欢在此取景。进入教堂内可以看到当地教徒在管风琴演奏圣歌下虔诚地祈祷，庄严地气氛让非信徒也融入其中，沉淀心情。此教堂离药令市和三一运动路青萝之丘等景点不远，可安排一起参观。,,2016년 10월 10일 작성,중국어(간체)
34,대구도시철도,제공되지 않음,4.0,"['58', '83', '38', '4', '1']",die größte unterirdische mall der welt?,3.0,"zumindest die teuerste. man wird, wenn man vom ubahn bahnsteig die rolltreppe aufwärts nimmt, unglaublich pompös ud kitschig begrüsst. schon daran merkt man, jetzt wirds teuer und es sind auch alle internationalen marken vertreten mit pseudoschnappchen. kein wirklich tolles shoppen und wenn man soetwas dann auch sucht, besser nach ny fliegen.... trotzdem irgendwie beeindruckend",2011년 5월 • 친구,2011년 9월 26일 작성,독일어
35,신세계백화점 대구점,대구 동구 동부로 149,4.0,"['11', '14', '4', '0', '0']",대구 최고의 랜드마크,5.0,신세계 백화점 같은 곳이 없어서 항상 아쉬웠는데 큰 백화점이 들어와서 너무 좋다. 서울이나 경기 권에서도 쉽게 볼 수 없는 브랜드가 많이 입점해있는 것이 장점이다.,2019년 8월 • 커플,2019년 8월 11일 작성,한국어
36,천주교 계산 주교좌 성당,대구 중구 서성로 10,4.0,"['37', '38', '16', '1', '0']",值得一看,3.0,桂山圣堂是大邱必去景点吧，但其实相比第一教会和其他教堂，这里算比较小的，不过胜在历史悠久，很有年代感。至于教堂里面就没什么看头了。,2016년 10월,2016년 10월 7일 작성,중국어(간체)
37,83 타워,대구 달서구 두류공원로 200,4.0,"['46', '59', '33', '3', '1']",一览大邱美景的大邱塔,5.0,登上 83 塔展望台，从 312 公尺处高空俯瞰大邱市区，美景当前，加上平日游客稀少。能购买Eworld 套票比较划算。顶楼85层尚未开放。,,2020년 2월 2일 작성,중국어(간체)
38,신세계백화점 대구점,대구 동구 동부로 149,4.0,"['11', '14', '4', '0', '0']",아쿠아리움있는 백화점,4.0,"주말 아이를 데리고 아쿠아리움을 가거나 기차타러 가거나, 시외로 버스탈 때 꼭 들리는 곳.
역세권이라 주말이면 사람 엄청 많음.
지하 식당가에 여러 먹거리가 많고, 8층 식당가는 거리 형식으로 꾸며져 있음. 가성비는 지하 중식이 제일 좋음. 9층엔 아쿠아리움, 주라지 등 아이들이 놀만함 공간이 있는데 평일에 가면 사람이 많지 않아 놀기 좋음.
쇼핑은 안 해서 잘 모름.",2019년 3월 • 가족,2019년 3월 15일 작성,한국어
39,천주교 계산 주교좌 성당,대구 중구 서성로 10,4.0,"['37', '38', '16', '1', '0']",特色教堂，适合漫步走访,4.0,"位于药令市一带
游客可进入参观
规模中等，内部宁静气派
可遇当地人在次祷告
建筑整体相当漂亮有特色。",,2016년 9월 8일 작성,중국어(간체)
40,83 타워,대구 달서구 두류공원로 200,4.0,"['46', '59', '33', '3', '1']",大邱塔,4.0,每个城市总有一个这样的塔，外型没有分别，只是坐落在不月城市，日间看没有什么特别，当夜幕低垂，街灯映照下，却是别一番景致,,2020년 1월 18일 작성,중국어(간체)
41,신세계백화점 대구점,대구 동구 동부로 149,4.0,"['11', '14', '4', '0', '0']",옥상 어린이 놀이터,5.0,"신세계 대구점.
동대구역과 가까이 있어요.
특히 8층.9층 푸드코트와 어린이 실내 게임장과 쥬라지 라는 옥상놀이터가 멋있어요.
생각보다 모던하고 깔끔한 인테리어.익스테리어에 놀랐네요.",2019년 2월 • 가족,2019년 2월 27일 작성,한국어
42,83 타워,대구 달서구 두류공원로 200,4.0,"['46', '59', '33', '3', '1']",看夜景的好所在,5.0,山下有免费巴士可搭上山 塔顶上有卖奶茶 和爱情锁桥 适合情侣来拍照 楼下有滑冰场 和很贵的餐厅 有免费饮水机 很方便,,2019년 11월 24일 작성,중국어(간체)
43,신세계백화점 대구점,대구 동구 동부로 149,4.0,"['11', '14', '4', '0', '0']",먹거리 나들이,5.0,"쇼핑하고 점심과 저녁사이 간식
에그타르트와 멘보샤 사서 바로 옆 폴바셋에서 커피와 함께하면 만원에 고급지게 간식 먹을수 있어요.",2019년 2월 • 커플,2019년 2월 14일 작성,한국어
44,83 타워,대구 달서구 두류공원로 200,4.0,"['46', '59', '33', '3', '1']",有趣的大邱塔,5.0,这是我第一次到大邱游玩，这座83塔绝对是旅行中的亮点之一，因为这里拥有我喜欢的一切！首先，这里有一家非常酷炫的视觉美术馆！我曾在首尔参观过，但在我看来，大邱的这家美术馆更加出色！第二，这里有一个观景台，视野极为开阔，可以俯瞰大邱的全景，整座城市仿佛放置在手掌之中，十分奇妙。最后，这里有一家Ashley自助餐厅，食物非常合我的口味。所以，这一天我拍了许多的照片，看了大邱的所有美景，并且品尝了美味的食物。此外，这里还有很多商店和咖啡馆，环境都非常酷！所以如果你在大邱旅游，我强烈建议你过来玩一玩！,,2019년 8월 11일 작성,중국어(간체)
45,신세계백화점 대구점,대구 동구 동부로 149,4.0,"['11', '14', '4', '0', '0']","큰 매장, 많은 음식점과 오락거리.",4.0,"문화공간도 잘 조성되어 있고 음식점도 많아서 주말보다 평일에 가는 것을 추천.
동대구역과 연결되어 있어서 타지에서 오는 사람들에게 추천하는 곳이에요. 쇼핑거리 먹거리 많아요",2017년 11월 • 개인,2017년 12월 15일 작성,한국어
46,83 타워,대구 달서구 두류공원로 200,4.0,"['46', '59', '33', '3', '1']",大邱的夜景,5.0,我们到达这座塔的时候，天气既不灰蒙蒙，云也是不多，不是阴沉沉的，所以我们是可以一眼就能看清大邱的美景。 天文台上面还有一家咖啡馆，这边还有几家纪念品商店！ 这个景点是很值得一游的！,,2019년 8월 4일 작성,중국어(간체)
47,신세계백화점 대구점,대구 동구 동부로 149,4.0,"['11', '14', '4', '0', '0']",동대구역과 연결되어 편함,5.0,동대구역과 바로 연결되어서 기차를 타고 내릴때 시간보내기 좋다 매우 크고 좋다 단점은 주차할때 시간이 매우 많이 걸렸다,2017년 12월 • 친구,2017년 12월 10일 작성,한국어
48,83 타워,대구 달서구 두류공원로 200,4.0,"['46', '59', '33', '3', '1']",这里是一个很棒的看夜景地方,5.0,我很喜欢这里！这里有很棒的食物且有很棒的夜景，这里的人很少所以可以尽情享受这里的环境。这里旅客不算多，拍照很方便。,,2019년 6월 17일 작성,중국어(간체)
49,신세계백화점 대구점,대구 동구 동부로 149,4.0,"['11', '14', '4', '0', '0']",큰 규모의 백화점,5.0,대구에서 가장 큰 백화점으로 동대구역 고속버스터미널 지하철과 모두 연결되어 있는 백화점. 양질의 물건부터 최신의 음식점. 영화관까지 모두 모여있어 원스탑으로 모든게 해결되는 곳이다,2017년 11월 • 커플,2017년 11월 20일 작성,한국어
50,83 타워,대구 달서구 두류공원로 200,4.0,"['46', '59', '33', '3', '1']",看夕阳和夜景的好选择,4.0,这边是大邱最高地点，观赏夕阳或夜景的好选择，可搭乘乐园的接驳车到半山腰的83塔入口，不过目前83楼并未兴建完成。,,2019년 6월 15일 작성,중국어(간체)
51,83 타워,대구 달서구 두류공원로 200,4.0,"['46', '59', '33', '3', '1']",用走的上山好累,5.0,"上面不大, 以为真的会放烟火，结果是动画。跟其他观光塔一样会先拍个纪念照，卖得很贵，忍痛还是买了，塔上依样可以寄明信片。上下塔电梯妹妹都会讲一大串介绍台词，连他们自己都觉得很好笑，下塔应该是刻意安排可爱的电梯妹妹让这个评论回到5星。",,2019년 5월 16일 작성,중국어(간체)
52,신세계백화점 대구점,대구 동구 동부로 149,4.0,"['11', '14', '4', '0', '0']",전국에서 2번째나 큰 백화점,4.0,전국에서 2번째나 큰 백화점으로 알려진 신세계 대구 백화점은 동대구역및 터미널이 연결되어서 쇼핑하기 편해요,2017년 10월,2017년 11월 11일 작성,한국어
53,83 타워,대구 달서구 두류공원로 200,4.0,"['46', '59', '33', '3', '1']",大邱最高的地方,5.0,虽然距离市区有点距离但却是大邱最高的地方，晚上有时候会有烟火和灯光秀与表演个人建议下午或晚上在进来园区。,,2018년 10월 16일 작성,중국어(간체)
54,신세계백화점 대구점,대구 동구 동부로 149,4.0,"['11', '14', '4', '0', '0']",가면 갈수록 사람이 늘어 나는 것 같다.,3.0,"아마도 대구에서 제일 규모가 큰 백화점이 아닐까 싶다.
층마다 다양한 아이쇼핑이 가능하다.
지하 1층에는 대형 할인점도 있고 다양한 먹거리들을 맛 볼수가 있다.
주로 분식류나 가벼운 한끼 식사 종류?
가격이 좀 나가는 식당은 8,9층에 있다.
사람 구경을 하고 싶거나 다양한 아이쇼핑을 원한다면 한번쯤 찾아 보시라.",2017년 7월 • 개인,2017년 7월 31일 작성,한국어
55,83 타워,대구 달서구 두류공원로 200,4.0,"['46', '59', '33', '3', '1']",大邱彩色小房子清清楚楚,5.0,"从e-world搭接驳车抵达83塔，可将大邱大大小小的房子清楚看到，且望远镜也不需另外收费，还有提供跳塔的设施(需要另外付费)
不过，觉得76楼的灯光show也很特别，晚上参访应该很美丽",,2018년 8월 27일 작성,중국어(간체)
56,앞산공원,대구 남구 앞산순환로 574-116,4.5,"['110', '71', '20', '1', '0']",请安装一个人的缆车,5.0,猫途鹰又搞事情！！！！大邱的阿斯盘公园令人惊奇，坐缆车两个人来回只需要19000韩元。山顶上的风光很壮观，山的海拔只有1600米，不用担心缺氧的问题。这里的风景让我想起了哥伦比亚，波哥大的蒙塞拉特山。只要不那么拥挤，我一定会再次来这里，从步道走到山顶。,,2018년 9월 9일 작성,중국어(간체)
57,앞산공원,대구 남구 앞산순환로 574-116,4.5,"['110', '71', '20', '1', '0']",消暑的好地方,5.0,"需要花10分钟路程才能抵达
但抵达后搭乘稳稳的缆车 才发现到了一个很舒服的地方
凉凉的风 还有一点点的小坡，就可以看到无敌漂亮的美景
很推荐可以带着家人一起散步过去观赏风景唷～～",,2018년 8월 27일 작성,중국어(간체)
58,앞산공원,대구 남구 앞산순환로 574-116,4.5,"['110', '71', '20', '1', '0']",非常棒的全景角度,4.0,在露天观景台鸟瞰大邱城，从出租车站走一点路就可以了。除了露天观景台，那儿只有一家当地的餐馆，其他就没什么东西了。,,2018년 8월 6일 작성,중국어(간체)
59,앞산공원,대구 남구 앞산순환로 574-116,4.5,"['110', '71', '20', '1', '0']",视野非凡,4.0,我们在大邱的诺瓦泰酒店门口，乘坐大巴车，开启了大邱城市之旅。我们坐了30分钟车，到达了这个公园。步行15分钟，可以到达坐缆车的地方，去往顶峰的缆车每15分钟一趟。顶峰的视野非凡，可以俯瞰城市和周边地区的风景。因为重新整修，餐厅关门歇业。我们来这里时，天气炎热，仿佛置身于婆罗洲丛林一般，我们出了很多汗，所以我建议大家选择凉爽的一天游览这里。,,2018년 7월 14일 작성,중국어(간체)
60,앞산공원,대구 남구 앞산순환로 574-116,4.5,"['110', '71', '20', '1', '0']",城市的魅力风光,4.0,因为我们没有时间爬山，所以我们乘坐缆车登顶。还需要再走个10分钟才能达到观景区。登顶后看到的景色取决于登顶时间和天气。如果这个城市只能游览一个地方的话，过来这里看看吧。,,2018년 6월 22일 작성,중국어(간체)
61,앞산공원,대구 남구 앞산순환로 574-116,4.5,"['110', '71', '20', '1', '0']",很美的一座公园，适合散步放松心情,5.0,搭公车就可以到达的一座公园，赏樱季节可以看到开满的樱花，有凉亭可以休息，厕所也很干净，虽然当天下了小雨所以没有去搭缆车，但光是散步拍照就觉得非常满足！下次还会规划，如果天气不错也会去搭乘缆车一览大邱美景！,,2018년 6월 8일 작성,중국어(간체)
62,앞산공원,대구 남구 앞산순환로 574-116,4.5,"['110', '71', '20', '1', '0']",很愉快的徒步，位于山顶的餐馆出人意料的好,4.0,徒步到观景台很容易，但是要到山顶的话还是很挑战的。在一个好的天气去，可以看到很漂亮的城市的景色，还是很值得的。餐厅提供不错的炒饭和韩式煎饼。,,2018년 5월 16일 작성,중국어(간체)
