,부서,사업명,제안취지,사업내용
10,공원녹지과,친환경 선비 숲길로 통하는 연암산 해맞이 전망루 설치,"-관광 및 문화자원의 발굴·개발·활용에 있어 잠재된 최고의 유·무형 가치와 환경을 갖추어, 시민들이 선호하는 다양한 기호에 맞추어 제공할 수 있습니다.<br>-자랑스러운 지역의 역사와 더불어 기존 시설이나 자원에 대한 별도의 투자없이 부가적으로 생성되는 연계가치가 매우큽니다.<br>-해맞이 환경을 찾아 일시적으로 대구를 떠나는 시민들의 발길을 자신의 지역에 머물게하고, 자부심과 애향심을 가지는 명실상부한 명소환경과 자원을 갖출 수 있습니다.<br>-대구 도심의 젖줄기가 되는 신천과 대구의 중심을 선명하게 내려다보며 대구시민은 물론 대구를 찾는 관광객들의 미래적 가치를 조망하는 기회를 제공합니다.<br>-동향 출신의 자랑스러운 역사인물이자 대구를 누구보다 특별히 사랑하고 보살핀 사가정 서거정 선생의 대구십영에 담은 최고의 경관을 역사적 가치로 되살리는 기회를 통해 대구의 인재 등용에 앞장선 사료적 의미를 되살려 시민 모두가 제2의 대구 부흥과 도약을 꿈꾸고 실천하는 기회를 찾게합니다.<br>-다수 시민들이 찾는 공간 형성을 통해 개발이 제한된 인접 지역(연암산 서당골)과 지역민들의 낙후된 의식을 미래의 지역 희망으로 바꾸는 전환의 계기 마련.<br>-제안하는 해맞이 전망루를 찾는 진입로와 매우 인접한 희소가치의 다양한 문화자원(체화당, 일신재, 용담재,효자각,구암서원,인문마당,파고라 등)의 자연스러운 활용가치가 제고되는 부가적 효과를 거양합니다.<br>-제안 내용은 평소 지역민의 바램과 인근 문화관광 자원을 찾는 다수 외부인의 발전적 요구를 체계적 조사를 통해 적극 반영한 것이며, 지역주민으로 구성되는 자치적 협의체의 참여의지를 적극 반영한 제안입니다.<br>-제안되는 시설물과 공강 및 환경은 대구의 역사문화를 대표하는 대구광역시문화재자료 제2호로 지정된 구암서원(숭현사)의 담장길을 통해 산책 및 진입로를 형성하는 특별함이 있으며, 기존 등산로를 정비하여 친환경 숲길로 조성·활용하는 최상의 여건으로 숲길을 찾는 시민들이나 청소년에게 인성회복과 예절교육에 대한 체험의 장으로도 활용합니다.",1. 생활공간과 바로 인접해 있으며 비교적 많은 시민들이 찾는 연암산(서당골)정상의 황무지 공간을 활용한 해맞이 전망루 설치 및 조경추진.<br><br>2. 상기 해맞이 전망루에 이르는 기존의 좁은 등산로를 활용하여 매년 대구의 전체 유림이 참여하는 향사와 영남선비문화수련원의 교육체험 및 수련활동이 구암서원 담장길을 통하는 친환경 숲길과 쉼터 공간으로 조성.
11,교육청소년정책관,쾌적한 독서환경을 위한 도서관 공기청정기 설치,남녀노소를 불문하고 모든 사람들이 이용하는 신천도서관에 공기청정기를 두어 최근 극심한 외부 미세먼지 및 책 먼지 등으로부터 도서관 이용자를 보호하고자 함,"- 신천도서관에 공기청정기를 설치하여 최근 극심해진 미세먼지와 황사, 도로 매연, 책 먼지 등으로부터 도서관을 이용하는 지역주민을 보호하고자 함<br>- 유아․어린이, 임산부들이 주로 이용하는 어린이 자료실의 창문이 너무 협소하며, 서가 사이에 있는 창문으로는 자료실 전체를 환기시키는 데에 부족함을 느낌. 공기청정기를 설치하여 자료실 내 미세먼지를 감소시키고자 함"
12,,침산교-금호대교 사이 오수배출시설 개선 및 보행자 교각 설치,침산교-금호대교 사이 오수 배출시설에 대한 환경 개선 및 보행자 통행을 위한 교각을 설치하여 산책하는 시민에게 쾌적하고 안전한 산책로 조성,"신천과 금호강변은 많은 대구시민이 산책(걷기, 마라톤, 자전거 등)을 즐기는 곳인데 침산교와 금호대교 사이에 설치되어 있는 오폐수 배출시설에서 너무 심한 악취와 함께 보기에도 흉한 오수가 고여 있어 시민들에게 많은 불쾌감을 주고 있습니다.<br>비가 올 때에만 오폐수가 금호강으로 흘러 들어 비가 오지 않을 때에는 항상 오폐수가 고여 있어 악취가 심하게 나고 있으며, 이로 인해 많은 모기와 하루살이 벌레들이 모여 있어 주변을 산책하는 시민들이 상당히 불편을 느끼고 있습니다. 또한 오수 통로 위로 조그만 통로가 하나 설치되어 있는데 신천과 금호강을 잇는 이곳은 산책을 즐기는 시민과 자전거를 타는 시민이 많이 왕래하고 있어 사고의 위험이 상당히 높은 편입니다.<br>이곳에 보행자가 통행하는 곳과 자전거가 통행하는 곳을 분리하여 교각을 설치해 준다면 시민들이 보다 안전하고 즐겁게 산책할 수 있을 것이라 생각됩니다."
13,도시디자인과,도심속 천문대가 빛나는 별빛 다리,"○ 주민들이 많이 이용하는 칠성종합시장, <br>   많은 자전거 동호인, 산책하는 신천둔치에 위치한 신천대로 칠성고가<br>   차도 하단부에 별자리 조명(LED) 하늘공원을 조성하여, <br><br>   1. 칠성종합시장을 찾는 많은 시민 및 관광객들에게 볼거리 제공<br><br>   2. 어린이에게 물과 별자리에 관한 호기심을 불러 일어키고, 다양한 계층의 시민<br>      들이 전통시장을 찾아오게 할 수 있는 컨셉 제공<br><br>   3. 어두운 교량하단에 밝은 분위기 조성으로 많은 자전거 동호인 시민들이 찾는<br>      대구의 명품 산책거리 조성<br><br>   4. 인근에 경북대학교가 위치하여 경북대학교에 유학하는 여러 국가 외국인 학생,<br>      교수 주민 등이 즐겨찾는 신천둔치 산책공간의 안심거리 여건 조성","○ 각종 별자리 조명 LED(상시발광) 및 피터팬 등 캐릭터 설치<br><br>   1. 태양계 행성 LED 조명기구 설치 - 천연색 발광<br>       (수성, 금성, 지구, 화성, 목성, 토성, 천황성, 해왕성, 명왕성)<br><br>   2. 황도 12궁 별자리 조명 LED 설치<br>      (물병자리, 물고기자리, 양자리, 황소자리, 쌍둥이자리, 게자리, <br>      사자자리, 처녀자리, 천칭자리, 전갈자리, 사수자리, 염소자리)<br><br>   3. 주간에도 볼거리를 제공하는 달 및 별자리 공원 조성<br>      - 상판 난간에 별자리 및 피터팬 등 캐릭터 조형물 부착<br>      - 둔치바닦에 별자리, 천문관련 조각물 설치"
14,도로과,도로 재포장,ㅇ 국채보상로 155길(신천교사거리 방향) 도로가 갈라지고 요철현상이 있음.<br>ㅇ 도로 중앙선이 지워져 안전사고 위험,"ㅇ 국채보상로 155길(신천교사거리 방향) 도로 재포장<br>  - L=300m, B=9m"
15,민생경제과,칠성(종합)시장 공연무대 설치사업,"○ 칠성종합시장에는 상인들로 구성된 「북두풍물패」, 「능금시장풍물패」       동호회가 구성되어 있고, 신천둔치에는 「자전거 및 마라톤 동호회」,     「대구희망섹스폰」등 다양한 문화․체육 활동이 이루어 지고 있으나       야외공연 무대는 없음.<br><br> ○ 서문시장과 함께 대구의 양대 전통시장이라고 할 수 있으며, 청과물․      채소, 족발, 수산물, 가구, 중고가전, 주방, 화훼 등 다양한 물품이      거래되며, 보리밥, 누룽국시, 소곰탕 등 칠성시장만의 맛잇고 고유한        먹거리가 있으나, 거래 유형이 도매점 및 농․수산물인 관계로, 주 이용고객이      중간 도매업자, 자영업자 및 노인층이며, 청년 및 주부고객은 거의      없는 형편임<br><br> ○ 전통시장의 다양한 상품과 먹거리와 함께 풍물, 악기, 가요 공연 등의      새로운 볼거리를 제공하여 전통시장의 이미지 개선 및 다양한 연령층의      고객이 즐겁게 이용할 수 있는 시장 인프라 조성<br><br> ○ 대구지역 경제 및 관광 활성화에도 이바지","○ 주요내용<br>  - 공연공연 무대 1식 설치<br>  - 음향, 조명 장비 1식 설치<br><br>○ 설치장소 : 칠성시장 농협칠성지점<br><br>○ 추진방법<br>  - 칠성시장을 이용하는 시민들의 시장이용과 공연관람이 자연습럽게 이루어      질수 있는 장소 선정(칠성종합시장 농협칠성점이 불가능할 경우            칠성마당 대구은행 CD기옆에 설치)<br>  - 공연무대 운영은 북구청과 칠성종합시장 연합회와 협약에 의거 운영<br>  - 신천둔치에서 문화예술 활동을 하고 있는 동호회, 칠성시장 내의      <br>   「북두풍물패」,「능금시장풍물패」및 기타·오카리나 등의 생활문화예술<br>    활동을 하는 동호회와 연계하여 공연 운영"
16,공원녹지과,공원 정비,ㅇ 신천동 656-58번지 일원 소규모 공원내 잡초가 무성하고 인근 주민들의 불법쓰레기 투기로 도시미관 저해 <br>ㅇ 상기 공원 주변은 주택밀집지역으로 구정홍보물 등 소식지 수령이 어려움,ㅇ 신천동 656-58번지 일원 공원 재정비<br>  - 녹지 및 조경지 수목 식재 및 노후 운동시설 개선<br>ㅇ 공원 내 구정 홍보 소식 전광판 및 안내판 설치
17,도로과,자동제설장치 설치,ㅇ 동부로 6길 신천LH5단지 옆은 경사가 급한 도로로 눈이 많이 내리는 겨울철 제설 작업에 어려움이 있음. <br>  ※ 급경사 지역은 강설시 즉시 제설 하지 않으면 눈이 얼어서 차량으로 제설 작업이 불가,ㅇ 도로 중앙에 노즐을 설치해 눈이 내리면 액상 제설제를 자동으로 살포하는 자동제설장치 설치<br>ㅇ 여름철에는 제설제 대신 물을 뿌려 도로를 식히는 등 다목적으로 활용
18,교통정책과,2단 자전거 보관대 설치,"ㅇ 신천역3번, 4번 출구 사이, 신천역 2번 출구 앞 자전거 보관대 수요 부족으로 무질서하게 자전거가 있어 도시 미관을 저해<br>ㅇ 주변환경과 어울리는 특색있는 2단 자전거 보관대를 설치하여 좁은 공간에 많은 자전거를 수용","ㅇ 신천역 3번, 4번 출구 사이, 신천역2번 출구 앞 2단 자전거 보관대 설치 <br>ㅇ 자전거 공기주입기 설치"
19,공원녹지과,철로 육교 밑 자투리땅 공원 조성,ㅇ 경부고속철도를 가로지르는 육교 하단의 빈 공터에는 공사장 폐기물 및 쓰레기 무단투기 <br>   등으로 환경 개선 필요.<br>ㅇ 도심 자투리땅을 활용한 공원을 만들어 주민 휴식공간 제공<br>ㅇ 야간에 육교 이용 시 주변이 어두워 범죄 및 안전사고 우려,"ㅇ 신천주공1단지 106동 앞에 위치한 육교 밑 자투리 땅 공원 조성<br>ㅇ 육교 하부, 공원 내 LED등 조성"
20,도시기반혁신본부 도시기반총괄과,철로 복개 구간 테마공원 조성,ㅇ 경부고속철도 대구 도심 정비사업을 통해 신천주공1단지와 신천자이 사이의 철로 구간이  복개공사를 완료.<br>ㅇ 철로 복개 위에 신암2동과 신천1.2동을 연결하는 다양한 볼거리가 있는 신천 테마공원 조성,"ㅇ 신천주공1단지와 신천자이, 신천가람아파트 사이 철도 복개구간 테마공원 조성<br>   - L=500m <br>   - 복개 구간 녹화사업 및 도심 야외 조형 미술관 조성"
21,교통정책과,교차료 알림이 설치,가파른 내리막길 차량의 과속으로 사고의 위험성이 놓고 <br>4거리 교차로지점의 접촉사고가 잦음<br>(신천가람타운인근 동신새마을금고제1점),신호등이 없는 도로에 운전자 및 보행자에게 매설된 표지등으로 시각적 경고를 주어 교통사고를 사전에 예방하기 위한 알림이 설치 필요
22,시설안전관리사업소 하천관리과,동신교와 신천교 구간 화장실 및 수도시설 설치,동신교와 신천교 구간 화장실 및 수도시설 설치를 통한 주민편의 증진 및 신천의 쾌적한 환경 조성,"○ 제안취지<br>동신교와 신천교 약640M 구간 사이에 화장실 및 수도시설이 없어 주민들이 곤란을 겪고 있음. 특히 중간지점에 주차장, 중구 체육광장 및 각종 운동시설이 밀집되어 있어 다수의 주민들이 해당시설들을 주로 이용함에도 불구하고, 화장실과의 거리가 멀어 노약자, 어린이들은 화장실 이용에 어려움을 겪고 있음. 심지어 인근 잔디밭이나 수풀에 무단방뇨하는 경우도 많음<br><br>○ 사업위치 : 대구광역시 중구 동신교~신천교 중간지점(주차장과 농구대 사이의 잔디녹지)<br>                    (사업위치가 검색이 안되서 정확한 사업위치를 기재합니다.)<br><br>○ 사업내용 : 동신교와 신천교 중간지점인 주차장과 농구대 사이의 잔디녹지 부지에 화장실 및 수도시설을 설치"
23,체육진흥과,파동 고가교 하단부 유휴공간 익스트림 스포츠장 설치,"도심 변두리 유휴공간을 수익성 있는 관광자원으로 개발하여 관광객들에게 ""재밌는 도시""로서 대구를 각인시키기 위함",파동고가교 아래 유휴공간에 익스트림 스포츠장 설치<br>1. 고가교 기둥 사이에 신천을 가로지르는 짚라인 등 에코어드벤쳐 시설물 설치<br>2. 고가교 기둥을 이용한 인공암벽장 설치
24,도로과,색깔있는 차선 설치,설치함으로써 교통사고를 줄이자는 취지에서 제안,평소 신천대로를 자주 이용하는 시민입니다. 대구에 이사온지 얼마 되지 않아 아직 지리에 익숙하지 않습니다.<br>신천대로를 달리다 보면 빠져나가는 길과 고속도로 진입로를 쉽게 찾을 수가 없습니다.<br>고속도로에는 빠져나가는 길에 여러가지 색으로 칠해져서 운전하는데 도움이 되었습니다.<br>아무래도 눈에 잘 띄는 색깔이다 보니 혼선 없이 정해진 차선으로 안전하게 지나갈 수 있었던 것 같습니다.<br>이러한 차선을 신천대로에도 적용한다면 대구 시민들이 보다 편리하게 도로를 이용할 수 있을 것 같아 이 사업을 제안합니다.
25,교육청소년정책관,#신천도서관,독서문화거점인 신천도서관을 홍보하고 지역주민의 복합문화공간을 제공하고자 함,· 기존의 건물후면부의 전면(채널)간판설치를 통한 적극적인 홍보 <br>· 지역주민에게 편리한 접근성 제공 및 도서관 위치 안내
26,청년정책과,레인보우 청년장,"지역의 다양한 분야의 청년들이 모여 꿈과 희망을 주고 받는 자리를 만든다. <br>‘장’이라 함은 일반적으로 무언가를 사고 파는 자리이자, 알리는 자리다. <br>‘청년장’은 지역의 개성있는 제품들도 만날 수 있지만, 일반적으로 만나기 어려웠던 지역청년 예술가, 청년대표 등을 만날 수 있으며 또한 청년이라는 카테고리 안에서 누구나 참여가 가능한 문턱이 낮고 자유로우며 그 속에 고민과 시대적 이야기를 반영한 가볍지 많은 않은 <br>장이 될 것이다. 이 장에는 일곱가지 구체적인 이야기가 만들어지며 펼쳐진다. <br>그리고 이 이야기들은 현재의 청년들을 하나로 묶고 기록하는 책자로 발행되어 또 한번 대구의 청년에 대한 이야기를 남기고자 한다.","청년들의 꿈과 희망이 신천에 무지개를 띄운다. <br>일곱가지 다양한 분야와 내용으로 구성된 청년들의 섹션에서 본인이 제작한 상품이나 스스로의 이야기를 통해 지역의 청년들과 교류하고 에너지를 얻는다. 작은 축제와 전시, 서로의 만남의 기록물로 일곱가지 이야기는 차후 한권의 작은 책으로 기록한다. <br><br>빨강 - 여기, 열정 <br>지역의 청년대표, 청년 창업가들이 모이다. 각 개인과 단체의 재능을 보여주는 자리로 지역에서 청년들이 하는 여러 가지 일들을 모아 한자리에서 볼 수 있으며 서로간의 소통과 이해로 시너지를 얻을 수 있다. <br><br>주황 - 우리는 만듦 <br>손으로 만든 모든 물건들이 한자리에 모이는 자리로 개성 넘치는 물건들을 볼 수 있는 자리로 대구의 각 마켓에서 활동하는 핸드메이드상품 작가, 아트상품 작가, 또는 디자이너들의 상품을 볼 수 있는 장이다.<br><br>노랑 - 노력과 여묾<br>청년에서 장년으로 새로운 시기를 맞이하는 개인과 단체들의 이야기와 성장 과정을 듣고 고민을 나눌 수 있는 작은 포럼 같은 형식의 자리이다. 청년들 뿐만 아니라 현재는 중, 장년이 된 여러 사람들의 이야기를 들어보고 자신의 고민을 그 시기에 비춰보며 미래를 구상해보는 시간을 갖는다. <br><br>초록 - 평화와 예술<br>청년예술가들이 만들어내는 동시대의 삶의 예술적 기록물들을 통해 대상을 바라보는 시각의 다양성의 존재를 알리고 지역청년예술가들의 작품과 아트 상품 등을 함께 볼 수 있는 자리를 만든다.<br><br>파랑 - 신천과 기록<br>신천의 파란 강물 위에 띄우는 대구, 그리고 현재의 청년을 주제로 한 조형물을 통해 이 축제의 상징성을 나타낸다. 또한 강물의 흘러감을 시간이 흐름과 연결지어 기록적 의미를 부여해 우리의 행위에 대한 기록을 축제 전부터 영상과 책자로 만들어 간다.<br><br>남색 - 흥 ! 축제<br>청년들이 만들고 즐기는 여러 이색 놀이와 추억의 놀이들을 통해 , 지금 대구에서 벌어지고 있는 많은 축제에 대한 의미를 다시 한번 고민하고 별거 없이도 신났던 어린 시절의 추억을 회상하고 즐길 수 있는 시간을 만든다.<br><br>보라 - 미래를 부르다<br>청년들의 버스킹과 다양한 연주, 공연을 나누는 시간을 만든다. 우리의 미래는 정해진 유기물이 아닌 꿈꾸고 상상하는 만큼 커질 수 있는 무한한 가능성을 가지고 있으며, 혼란의 시대, 많은 것을 가진 시대에 사는 청년의 어깨는 무겁고 정신은 외롭다. 그것을 위로 해 주는 것은 물질이 아닌 정신에서 나온다. 서로의 어깨를 맞대고 위로를 할 수 있는 시간을 우리 스스로가 만들어 본다."
27,자연재난과,태양광을 흡수해 밤에 자체 발광하는 자전거 도로 시범설치,기존 신천변 자전거 도로의 일부 구간을 태양광을 흡수해 밤에 자체 발광하는 자전거 도로로 개선함으로써 야간에 명확히 도로를 구분해 줄 수 있어 자전거 안전사고 예방 및 자전거 이용자 유인효과,"야간에 자전거를 이용해 운동을 할 때면 바닥에 선이 명확하게 드러나지 않아 사람과 부딪힐뻔하는 등 아찔한 경우가 자주 발생함<br>starpath라고 불리는 특수 재료로 만들어진 포장재를 이용하면 낮 시간동안 태양광을 흡수해 에너지를 저장한 후 야간시간대에 빛을 발하는 자전거 도로를 만들 수 있다는 기사를 접함.<br>독특한 빛을 이용한 다양한 디자인을 통해 자전거 이용자들을 유인하고, 보행자와 자전거 이용자의 접촉사고도 줄이는 일석이조의 사업이라 셍각되어 제안함."
28,교통정책과,공동생활공간의 안전한 교통시스템구축사업,침산동은 주거와 산업지구가 밀접하게 연결되어 있는 공동생활공간으로  보다 안전한 교통시스템을 구축함으로써 지역주민의 안전을 확보할 뿐 만아니라 사업하기 좋은 지역구로 거듭나기 위함임.,"1. 주요내용 <br>   - 침산 쌍용2차 아파트와 무림제지 앞 3차선 교통시스템 개선<br><br>2. 주요현안문제<br>   - 침산네거리에서 백사벌네거리 방향으로 진행중 쌍용2차아파트와 무림제지 사이의 삼거리 교통신호 비보호체계<br><br>  - 최근 이용자 증가로 와촌식육식당앞에 횡단보도가 생겨났으나, 교통신호가 없어 사고위험에 노출<br><br>  - 삼거리 불번 유턴 차량 증가<br><br>  - 쌍용아파트에서 비보호 좌회전(백사벌네거리)할 경우 곡선도로에 불법 대형차량(화물 및 관광버스)주차로 시야 확보 불가<br><br>  - 특히 차량 왕래가 증가하는 출퇴근시간의 경우, 무림제지도로변에 불법주정차해 있는 대형 화물트럭으로 상습 정체 및 사고발생 위험 내재<br><br>  - 불법주정차 단속이 정기적으로 이루어지고 있는것 같으나, 출퇴근시간에 집중되지 못함<br><br>  -  신천강변으로 도보 또는 자전거로 이동하는 주민 수 매년 증가<br><br>3. 개선방안<br>   - 유턴구역 설계 <br><br>   - 시야 확보 문제 개선을 위한 신호체계 도입 및 신호등 설치<br>   <br>   - 출퇴근시간 집중 불법 주정차 단속 실시"
